,id,full_name,is_active
280,1627733,Dragan Bender,0
281,1886,Jonathan Bender,0
282,203968,Jerrelle Benimon,0
283,104,Benoit Benjamin,0
284,1736,Corey Benjamin,0
285,203461,Anthony Bennett,0
286,1120,Elmer Bennett,0
287,712,Mario Bennett,0
288,76151,Mel Bennett,0
289,76148,Tony Bennett,0
290,76152,Winston Bennett,0
291,128,David Benoit,0
292,202728,Keith Benson,0
293,76154,Kent Benson,0
294,1627791,Ben Bentil,0
295,76155,Gene Berce,0
296,76156,Gary Bergen,0
297,76157,Ricky Berry,0
298,76158,Walter Berry,0
299,1629541,Dairis Bertans,0
300,202722,Davis Bertans,0
301,76159,Del Beshore,0
302,696,Travis Best,0
303,201976,Patrick Beverley,0
304,204021,Sim Bhullar,0
305,76160,Al Bianchi,0
306,76161,Hank Biasatti,0
307,76162,Henry Bibby,0
308,1710,Mike Bibby,0
309,76163,Ed Biedenbach,0
310,2740,Andris Biedrins,0
311,76164,Don Bielke,0
312,76165,Bob Bigelow,0
313,1497,Chauncey Billups,0
314,76166,Dave Bing,0
315,76167,Joe Binion,0
316,203920,Khem Birch,0
317,1628444,Jabari Bird,0
318,76168,Jerry Bird,0
319,1449,Larry Bird,0
320,76170,Otis Birdsong,0
321,76171,Gale Bishop,0
322,1629048,Goga Bitadze,0
323,202687,Bismack Biyombo,0
324,202357,Nemanja Bjelica,0
325,76172,Uwe Blab,0
326,76173,Charlie Black,0
327,76174,Norman Black,0
328,204028,Tarik Black,0
329,76175,Tom Black,0
330,76176,Rolando Blackman,0
331,76180,Alex Blackwell,0
332,76177,Cory Blackwell,0
333,1806,James Blackwell,0
334,76179,Nate Blackwell,0
335,201971,DeJuan Blair,0
336,2581,Steve Blake,0
337,202392,Marqus Blakely,0
338,1628469,Antonio Blakeney,0
339,200807,Will Blalock,0
340,76182,George Blaney,0
341,76183,Lance Blanks,0
342,76184,Ricky Blanton,0
343,101154,Andray Blatche,0
344,302,Mookie Blaylock,0
345,202339,Eric Bledsoe,0
346,76186,Leon Blevins,0
347,76187,John Block,0
348,76188,Mike Bloom,0
349,1628417,Jaron Blossomgame,0
350,916,Corie Blount,0
351,1548,Mark Blount,0
352,203505,Vander Blue,0
353,1629129,Trevon Bluiett,0
354,76189,Ray Blume,0
355,76190,Nelson Bobb,0
356,2800,Tony Bobbitt,0
357,76191,Arlen Bockhorn,0
358,76192,Tom Boerwinkle,0
359,2586,Keith Bogans,0
360,203992,Bogdan Bogdanovic,0
361,202711,Bojan Bogdanovic,0
362,177,Muggsy Bogues,0
363,101106,Andrew Bogut,0
364,1564,Etdrick Bohannon,0
365,1629626,Bol Bol,0
366,76195,Manute Bol,0
367,1628413,Jonah Bolden,0
368,76196,Bill Bolger,0
369,1627762,Joel Bolomboy,0
370,76197,Doug Bolstorff,0
371,76203,George H. Bon Salle,0
372,76198,Phil Bond,0
373,1603,Walter Bond,0
374,1629648,Jordan Bone,0
375,1121,Dexter Boney,0
376,1629067,Isaac Bonga,0
377,76201,Ron Bonham,0
378,41,Anthony Bonner,0
379,2588,Matt Bonner,0
380,1626164,Devin Booker,0
381,511,Melvin Booker,0
382,202344,Trevor Booker,0
383,200767,Josh Boone,0
384,76204,Ron Boone,0
385,1916,Calvin Booth,0
386,1522,Keith Booth,0
387,76206,Bob Boozer,0
388,2430,Carlos Boozer,0
389,2414,Curtis Borchardt,0
390,76207,Jake Bornheimer,0
391,1953,Lazaro Borrell,0
392,76209,Costic Borsavage,0
393,76210,Vince Boryla,0
394,2547,Chris Bosh,0
395,76211,Jim Bostic,0
396,76212,Lawrence Boston,0
397,76213,Tom Boswell,0
398,1628449,Chris Boucher,0
399,2257,Ruben Boumtje-Boumtje,0
400,76214,Don Boven,0
401,1898,Cal Bowdler,0
402,1477,Bruce Bowen,0
403,1763,Ryan Bowen,0
404,1628968,Brian Bowen II,0
405,194,Anthony Bowie,0
406,76217,Sam Bowie,0
407,1085,Ira Bowman,0
408,1629065,Ky Bowman,0
409,76219,Nate Bowman,0
410,671,Donnie Boyce,0
411,76221,Dennis Boyd,0
412,76222,Fred Boyd,0
413,76223,Ken Boyd,0
414,1863,Earl Boykins,0
415,76224,Harry Boykoff,0
416,76225,Winford Boynes,0
417,200841,Cedric Bozeman,0
418,76226,Steve Bracey,0
419,202342,Craig Brackins,0
420,76227,Gary Bradds,0
421,76228,Alex Bradley,0
422,76229,Alonzo Bradley,0
423,202340,Avery Bradley,0
424,76233,Bill Bradley,0
425,76230,Charles Bradley,0
426,76231,Dudley Bradley,0
427,76232,Joe Bradley,0
428,2214,Michael Bradley,0
429,762,Shawn Bradley,0
430,1628396,Tony Bradley,0
431,1361,Mark Bradtke,0
432,66,Marques Bragg,0
433,1765,Torraye Braggs,0
434,1920,A.J. Bramlett,0
435,76237,Adrian Branch,0
436,1882,Elton Brand,0
437,210,Terrell Brandon,0
438,76238,Bob Brannum,0
439,76239,Brad Branson,0
440,76240,Jesse Branson,0
441,1629714,Jarrell Brantley,0
442,76241,Jim Brasco,0
443,76242,Mike Bratz,0
444,76243,Carl Braun,0
445,1629649,Ignas Brazdeikis,0
446,160,Tim Breaux,0
447,2452,J.R. Bremer,0
448,76245,Pete Brennan,0
449,76246,Tom Brennan,0
450,76247,Randy Breuer,0
451,201147,Corey Brewer,0
452,2249,Jamison Brewer,0
453,76248,Jim Brewer,0
454,76249,Ron Brewer,0
455,200758,Ronnie Brewer,0
456,2056,Primoz Brezec,0
457,76250,Frank Brian,0
458,783,Frank Brickowski,0
459,76252,Junior Bridgeman,0
460,76253,Bill Bridges,0
461,1628969,Mikal Bridges,0
462,1628970,Miles Bridges,0
463,76254,Al Brightman,0
464,76255,Audley Brindley,0
465,1628515,Isaiah Briscoe,0
466,76256,John Brisker,0
467,1629052,Oshae Brissett,0
468,76257,Allan Bristow,0
469,76258,Tyrone Britt,0
470,76259,Wayman Britt,0
471,76260,Mike Brittain,0
472,76261,David Britton,0
473,201972,Jon Brockman,0
474,1629151,Ryan Broekhoff,0
475,76262,Jim Brogan,0
476,1627763,Malcolm Brogdon,0
477,76263,Gary Brokaw,0
478,76264,Price Brookfield,0
479,201166,Aaron Brooks,0
480,1628415,Dillon Brooks,0
481,76265,Kevin Brooks,0
482,202705,MarShon Brooks,0
483,76266,Michael Brooks,0
484,418,Scott Brooks,0
485,2810,Andre Brown,0
486,1626148,Anthony Brown,0
487,76284,Bob Brown,0
488,201628,Bobby Brown,0
489,1628971,Bruce Brown,0
490,359,Chucky Brown,0
491,2245,Damone Brown,0
492,76270,Darrell Brown,0
493,244,Dee Brown,0
494,200793,Dee Brown,0
495,201974,Derrick Brown,0
496,2484,Devin Brown,0
497,2081,Ernest Brown,0
498,76272,Fred Brown,0
499,76273,George Brown,0
500,1871,Gerald Brown,0
501,76275,Harold Brown,0
502,203913,Jabari Brown,0
503,1627759,Jaylen Brown,0
504,76276,John Brown,0
505,2208,Kedrick Brown,0
506,2198,Kwame Brown,0
507,76278,Leon Brown,0
508,76279,Lewis Brown,0
509,203485,Lorenzo Brown,0
510,992,Marcus Brown,0
511,203900,Markel Brown,0
512,1479,Mike Brown,0
513,1629650,Moses Brown,0
514,76277,Myron Brown,0
515,136,P.J. Brown,0
516,753,Randy Brown,0
517,76282,Raymond Brown,0
518,76283,Rickey Brown,0
519,76286,Roger Brown,0
520,200769,Shannon Brown,0
521,76285,Stan Brown,0
522,1628425,Sterling Brown,0
523,2357,Tierre Brown,0
524,76268,Tony Brown,0
525,1629718,Charles Brown Jr.,0
526,1628972,Troy Brown Jr.,0
527,76287,Jim Browne,0
528,76288,Stanley Brundy,0
529,1628973,Jalen Brunson,0
530,1594,Rick Brunson,0
531,1627852,Nicolas Brussino,0
532,76289,Emmette Bryant,0
533,76290,Joe Bryant,0
534,977,Kobe Bryant,0
535,95,Mark Bryant,0
536,1628418,Thomas Bryant,0
537,76291,Wallace Bryant,0
538,76292,Torgeir Bryn,0
539,76293,Joe Buckhalter,0
540,76294,Steve Bucknall,0
541,76295,Cleveland Buckner,0
542,1761,Greg Buckner,0
543,76296,Quinn Buckner,0
544,76297,Dave Budd,0
545,201978,Chase Budinger,0
546,76298,Walter Budko,0
547,146,Jud Buechler,0
548,1934,Rodney Buford,0
549,672,Matt Bullard,0
550,203493,Reggie Bullock,0
551,76300,Greg Bunch,0
552,76301,Dick Bunt,0
553,76302,Bill Buntin,0
554,76303,Luther Burden,0
555,2469,Pat Burke,0
556,203504,Trey Burke,0
557,76304,Roger Burkman,0
558,202692,Alec Burks,0
559,2766,Antonio Burks,0
560,101207,Kevin Burleson,0
561,76305,Tom Burleson,0
562,76306,Jack Burmaster,0
563,76307,David Burns,0
564,76308,Evers Burns,0
565,76309,Jim Burns,0
566,197,Scott Burrell,0
567,76311,Art Burris,0
568,675,Junior Burrough,0
569,76313,Bob Burrow,0
570,1629126,Deonte Burton,0
571,76314,Ed Burton,0
572,416,Willie Burton,0
573,76316,Steve Burtt,0
574,76317,Don Buse,0
575,202221,Brian Butch,0
576,76318,Donnie Butcher,0
577,76319,Al Butler,0
578,2406,Caron Butler,0
579,202364,Da'Sean Butler,0
580,76320,Greg Butler,0
581,2866,Jackie Butler,0
582,202710,Jimmy Butler,0
583,348,Mitchell Butler,0
584,2446,Rasual Butler,0
585,202779,Dwight Buycks,0
586,201182,Derrick Byars,0
587,101115,Andrew Bynum,0
588,101198,Will Bynum,0
589,76321,Marty Byrnes,0
590,76322,Tommy Byrnes,0
591,76323,Mike Bytzura,0
592,2560,Zarko Cabarkapa,0
593,76324,Barney Cable,0
594,203998,Bruno Caboclo,0
595,1629719,Devontae Cacok,0
596,679,Jason Caffey,0
597,262,Michael Cage,0
598,76326,Gerry Calabrese,0
599,201979,Nick Calathes,0
600,101181,Jose Calderon,0
601,154,Adrian Caldwell,0
602,76328,Jim Caldwell,0
603,76329,Joe Caldwell,0
604,203484,Kentavious Caldwell-Pope,0
